age,income,credit_score
58,73570,651
52,87695,649
66,74013,627
27,117254,689
41,99455,678
39,61234,578
22,61003,574
56,78333,688
41,49564,620
52,93658,682
70,75955,708
40,73642,595
39,83113,587
45,105902,757
55,71761,684
38,65513,642
37,101192,614
56,89286,637
48,60938,600
22,68114,714
31,72298,622
61,75960,725
48,38155,643
36,34065,608
42,48477,642
44,46776,521
52,53836,658
29,81964,656
35,64284,710
47,72321,561
43,41065,729
50,57844,710
30,80920,734
48,81089,662
56,52059,721
49,71557,584
46,116375,704
43,67613,623
35,52750,574
43,64177,603
58,70028,665
43,64674,620
34,67310,686
39,36244,566
46,46822,548
40,64715,740
49,64364,715
50,55544,607
54,64106,665
60,69342,721
55,87567,688
34,65817,673
34,76780,725
43,56085,625
39,80586,667
31,76266,664
39,87048,650
39,83696,644
37,80952,669
41,65835,667
57,73389,607
46,91397,709
71,53654,611
46,54175,653
41,71991,649
44,77136,685
47,49870,548
49,66355,714
67,65932,628
35,19264,732
53,63169,639
46,64539,662
27,64474,770
52,99150,650
58,41252,733
35,49858,667
44,10532,688
25,57420,669
30,59296,712
56,56781,627
39,92369,611
32,86934,630
47,69713,670
38,59847,653
39,90576,704
52,67565,737
31,49998,611
34,30243,625
46,58291,586
55,84602,777
58,118084,682
37,69355,691
54,51162,591
35,41931,665
64,80143,693
32,29178,651
59,80108,724
37,85990,792
66,77598,613
51,63167,609
33,80429,617
38,71761,753
53,50881,722
56,108709,658
43,60263,667
44,85067,620
52,14790,714
45,96082,644
30,100313,651
35,68656,698
47,80293,655
57,80287,652
62,53859,666
53,80037,709
47,50210,756
52,54607,697
37,92793,709
42,89442,654
35,52460,626
30,51861,701
48,53797,674
46,84118,587
52,46000,647
50,75848,660
47,84431,637
50,66059,746
44,90221,691
49,61305,741
36,63295,679
48,46501,669
51,90378,613
37,51137,666
45,75695,666
37,66431,590
38,44839,635
32,54600,647
58,98423,688
56,72436,690
50,45799,633
66,74717,691
42,64785,655
77,143989,507
41,74273,638
47,59626,724
40,99241,573
48,27497,671
53,70075,752
43,111877,623
64,65444,665
47,29867,593
47,59290,754
34,99999,660
49,76274,668
43,49545,739
37,52925,701
35,55687,617
73,75946,629
41,97440,692
28,91153,631
36,78032,549
43,38704,662
50,38785,584
50,79732,754
51,38400,675
37,63038,615
48,74691,627
34,42973,561
37,45466,605
34,65929,721
31,79080,788
56,91353,705
52,81355,660
55,69620,641
44,51584,612
53,44440,778
25,56761,655
53,77019,781
46,75406,742
51,21802,569
48,50715,628
33,94499,628
28,69743,661
36,36826,662
50,119828,830
52,67363,606
29,76455,678
33,76790,699
36,59913,665
40,51993,671
29,114677,608
28,90071,671
35,86083,693
45,80678,683
31,45927,696
43,96106,743
56,49451,717
30,74232,669
42,31933,601
55,23101,632
39,75002,653
38,50200,679
57,24238,639
41,79893,614
56,114642,600
49,98570,574
40,62339,652
49,68195,584
48,87530,610
55,92687,643
38,60442,592
44,68752,686
43,74614,706
52,80185,635
33,65072,641
55,65358,695
49,98356,626
30,94609,622
57,78503,731
69,105820,714
55,59498,698
60,103705,716
45,79935,556
26,139963,739
24,41765,687
47,52834,721
37,77214,686
34,76739,668
43,110903,650
51,53296,685
28,87908,648
39,93574,713
61,83502,578
32,46858,635
54,98971,777
39,95045,631
50,81191,652
56,72496,616
52,72974,683
54,66268,625
31,82097,655
56,68685,712
35,49332,627
47,44931,708
47,51455,710
49,72887,723
48,67407,673
35,72738,843
29,79018,723
54,54199,683
46,100245,617
57,62110,660
44,58465,743
29,78612,759
55,27597,746
40,50608,708
48,89584,596
37,29777,692
62,92587,597
34,101245,583
40,59872,678
45,74420,694
32,92620,715
48,57731,692
62,87091,694
39,53235,611
48,57493,659
18,50415,582
44,75538,555
41,93475,706
35,63950,624
56,40033,713
40,44180,726
42,76681,631
40,108571,697
23,76662,629
32,59488,563
55,84856,672
21,62731,639
36,59678,641
40,46914,774
63,98986,581
52,12137,686
38,85553,610
58,57798,715
36,58973,681
55,105231,686
29,52289,613
56,53038,623
40,65131,716
33,77105,762
42,58279,691
47,33375,616
39,48955,684
50,96189,799
38,69645,671
51,77924,745
49,62249,624
43,53491,663
39,104907,699
46,63860,687
50,58246,623
67,92115,620
54,52108,719
55,54916,731
78,68225,748
50,68006,764
49,73711,672
52,114017,648
33,75397,739
39,15683,704
38,75179,611
51,68833,608
42,68956,692
46,73411,655
56,67369,664
53,66843,724
42,81487,707
37,56074,738
56,47151,559
53,134523,679
26,52251,703
41,70203,581
46,35095,629
53,70562,619
54,47469,666
47,58266,755
50,90991,776
45,78384,620
37,80505,694
41,29033,696
44,108412,686
44,41779,687
23,101628,682
40,90474,758
45,80701,726
41,49190,607
41,71335,709
49,57640,714
32,68639,682
26,62503,727
40,23151,675
52,92679,676
63,66216,672
53,57334,554
28,55673,661
41,75886,628
47,48337,600
46,18386,744
50,76957,693
34,79420,663
45,63608,634
49,42746,681
53,69957,720
35,35780,620
40,45401,665
18,51485,713
37,86567,559
38,60023,662
33,58147,641
46,111003,658
43,75754,637
19,75458,673
46,59867,771
34,54880,647
49,19899,681
30,89312,775
44,77863,635
41,64058,765
47,64981,665
45,84195,763
41,33796,706
27,55023,682
28,43001,661
38,106973,631
44,87264,669
37,19541,714
51,34697,664
41,65088,648
33,57606,651
41,38864,720
46,110785,732
48,74876,628
65,78446,628
37,52776,686
43,83890,749
49,59630,728
44,61766,596
38,81442,650
27,32162,614
38,103135,650
32,72013,753
25,96181,587
35,44341,576
32,47690,619
50,42438,681
51,73507,699
34,69452,689
41,57783,730
24,45690,568
39,40135,730
48,66933,648
53,57757,705
36,52917,592
56,102036,665
27,66189,678
30,95941,729
52,56268,578
62,73385,667
49,66780,605
44,30652,693
20,99423,708
22,65027,736
45,84421,636
40,51455,716
32,64373,740
45,48929,575
45,95192,699
54,74851,718
46,76075,651
58,97880,598
44,93440,717
43,84838,599
56,36722,655
33,52695,663
75,45914,704
48,84006,631
48,71754,627
50,37409,670
65,63848,720
53,35130,791
26,66831,582
59,31582,682
40,79634,605
45,76315,721
30,109975,613
50,86653,628
37,58696,633
45,85998,661
41,37251,683
65,46826,692
66,75329,665
