age,income,credit_score
37,28089,713
35,36641,749
43,39212,749
40,46883,682
18,38584,708
40,60606,625
26,25923,704
22,26304,668
33,44992,693
39,47365,633
20,28180,716
41,40899,632
42,43984,706
35,44101,651
27,52278,666
26,40076,746
44,72168,724
21,57323,746
45,37893,762
34,51418,669
34,51860,760
20,68221,641
34,40994,730
41,61510,680
23,50628,663
39,72373,725
36,69363,738
29,52955,737
43,46066,709
18,57599,705
38,47293,721
50,75205,712
48,51177,722
39,43915,708
32,43106,734
29,31804,635
32,58348,695
40,37700,645
28,66472,711
42,30606,766
54,51909,681
34,67253,705
23,17716,730
23,80274,617
42,43621,679
34,52116,715
43,58572,584
30,60892,661
42,54108,744
34,64961,740
28,57786,715
31,76413,735
24,57835,709
53,79470,722
34,63516,687
41,22914,705
30,89167,675
26,41385,751
33,72433,761
45,50402,755
30,65916,684
27,39673,662
36,59386,751
39,46202,722
50,73685,713
38,56580,675
41,64039,717
41,17539,657
25,48716,725
26,56158,755
25,53354,765
23,64417,728
42,44511,645
38,50732,708
36,67718,786
18,15820,665
53,58840,698
27,44992,757
53,36315,725
22,55048,799
28,68412,671
18,65587,660
38,47973,749
25,63136,652
25,63021,692
23,48689,697
42,39604,741
41,40471,725
51,62568,718
29,49368,684
37,34307,749
23,24727,850
32,62477,728
30,41798,704
39,54956,648
44,68596,675
44,30366,691
27,49323,679
44,47440,699
35,55696,771
32,68587,750
29,30058,694
30,58547,652
51,65473,753
38,47204,698
37,47938,631
33,56277,728
57,55172,741
47,58735,603
29,58419,667
33,35270,696
33,64854,729
36,67502,679
29,52791,667
39,27588,729
48,48279,681
23,52916,722
25,32831,656
31,44598,646
31,28859,730
53,59109,710
44,52489,737
43,25313,679
33,55272,668
32,49152,754
22,57746,639
42,44127,750
39,37978,753
47,38437,734
33,41927,672
34,50282,667
37,52219,692
43,47139,648
22,43650,662
42,44729,726
35,87616,726
25,38439,658
18,41630,727
34,99408,718
48,56315,760
50,29300,723
38,62640,742
53,36349,719
35,63636,739
44,46836,649
31,43403,695
30,74137,698
29,58496,690
18,64595,718
47,56524,725
29,43333,716
28,59170,693
24,68138,671
33,52021,744
51,77025,714
54,62757,659
20,53180,692
32,53772,630
26,52059,701
44,31231,692
38,48649,677
29,53318,763
36,43759,654
31,55065,728
50,50320,787
40,61605,743
41,59947,699
18,52507,655
34,29492,646
54,76861,684
47,47872,673
18,48787,671
32,44862,687
24,42674,696
50,73161,719
37,70791,650
28,56666,673
35,48387,694
18,59287,692
25,51107,773
35,47147,709
43,55072,635
18,43383,717
32,53784,722
44,53063,695
22,59044,651
37,40713,770
36,60652,657
50,36405,726
33,41412,708
33,42066,724
43,33919,768
23,65235,722
33,35464,678
31,39516,744
34,68831,675
43,41441,707
40,47178,648
28,34820,659
36,62494,702
48,62701,715
28,61084,632
36,58063,720
33,51104,667
34,42134,751
20,37775,686
48,69349,655
28,61472,703
44,39600,663
29,50597,751
29,45498,700
46,33077,694
44,52665,724
37,43768,660
42,35712,648
32,27813,716
35,26543,656
29,44429,656
43,48724,733
29,36870,721
48,59761,650
32,49017,675
35,58653,664
42,47256,771
35,38193,736
32,51712,683
35,31060,723
43,58092,646
29,35943,673
34,63773,704
35,44923,718
43,65938,696
34,33161,710
51,39833,703
34,55714,693
33,67557,688
33,74999,683
23,50620,709
26,77566,716
30,45655,708
45,66482,653
35,35867,660
31,56303,716
46,14875,759
49,33176,706
46,57000,684
27,30313,709
31,56404,655
51,63597,752
37,42480,707
33,35466,673
41,42887,693
44,35513,679
30,48482,752
37,51531,692
43,45410,706
25,75115,723
35,39209,670
25,70871,708
26,34381,711
30,51092,638
39,67747,710
32,66970,698
29,43696,705
35,58326,701
25,56318,710
39,41901,753
45,59239,653
34,77937,686
33,57076,727
38,58495,719
18,60082,718
40,28085,810
63,56903,725
34,34749,745
34,41152,688
42,82429,660
50,46201,687
44,38897,728
18,67289,716
40,35785,716
58,43289,691
41,68736,685
25,50642,693
38,26576,729
23,58160,734
46,44053,660
26,73098,730
36,40907,674
27,65768,719
30,76635,692
48,37236,763
36,47102,683
30,55829,707
25,37140,724
18,54054,665
24,46626,697
36,46324,689
44,50734,679
30,51069,682
49,52458,744
29,41018,676
33,41672,723
25,48221,713
44,49329,644
54,43417,721
19,54859,643
32,22779,725
46,39043,680
22,45801,700
40,37158,648
46,74438,705
36,50283,737
40,52652,668
51,42752,676
53,49763,718
34,31771,719
30,47453,603
27,35945,781
44,45839,721
23,11601,728
33,33080,694
36,71959,626
30,62456,727
38,69786,677
58,70816,722
34,60095,691
31,43207,710
44,34441,669
37,67201,735
48,50969,652
36,87410,790
33,44524,790
19,79593,765
20,47648,751
18,70041,697
38,75450,747
23,34656,696
46,42725,638
35,34505,760
33,31551,745
27,60006,699
41,47051,651
28,50785,677
26,58344,627
46,22139,738
38,69301,636
33,44764,711
41,57986,666
35,59311,643
38,70562,710
28,48427,687
54,18145,734
30,50857,649
49,53011,670
33,34486,604
42,52212,613
42,44585,772
45,29859,783
27,60072,704
45,41544,667
52,43904,688
33,43061,735
35,68532,679
30,49386,710
32,51186,699
50,43390,677
26,56943,679
27,70240,712
49,59718,661
41,60303,718
54,59093,681
31,29296,705
36,36858,755
29,46925,693
36,39112,737
19,34032,628
41,21917,681
38,29802,701
34,46152,777
31,48959,622
27,38104,696
42,51184,758
24,43492,669
40,66359,691
54,47576,713
48,60445,707
21,53048,763
30,28969,718
39,48640,753
34,31466,686
22,48378,670
38,38823,691
35,55729,654
52,29865,719
33,50221,685
46,58586,673
24,63614,720
26,38537,654
41,50266,731
45,52762,681
26,73207,746
35,27780,684
23,36333,725
33,92067,707
43,45904,730
31,21635,704
33,41262,633
25,8467,740
29,53614,696
51,62147,732
36,36325,728
26,42939,669
32,63855,663
21,23747,726
26,30176,688
47,46578,737
34,38715,693
52,45592,741
34,31044,717
35,53215,712
41,47762,685
18,58238,709
37,53006,748
35,53100,698
48,28305,721
44,57389,702
25,45037,705
46,47501,769
33,65724,748
27,39208,703
37,70268,709
33,71667,672
49,61292,693
38,35291,712
37,17206,734
43,66183,730
45,51671,656
42,38822,739
48,67603,696
40,37077,661
37,43638,753
46,57873,759
34,33296,711
35,48358,728
50,66337,731
