age,income,credit_score
38,49111,682
26,39061,673
42,43783,717
43,59509,710
18,50045,644
23,55103,745
36,60051,696
32,44377,656
35,61344,748
27,55683,725
43,31478,649
42,71635,771
36,42489,726
45,25174,700
39,34324,764
27,34684,706
38,50783,699
26,45892,674
43,44948,723
35,59296,719
33,55098,701
29,54741,668
46,56147,705
34,59242,697
31,18381,647
32,44533,641
40,17297,723
38,50541,596
39,49931,708
39,65683,681
54,67815,752
31,53042,680
30,42495,726
28,57277,684
41,42081,705
45,49979,729
34,64792,681
27,41633,740
28,62085,660
41,60161,712
42,35678,737
40,64608,726
29,60478,777
37,51529,669
36,38565,645
37,37112,660
43,41935,726
37,58139,720
41,35666,704
36,56563,655
38,31374,731
41,46939,651
22,51645,746
32,86677,814
31,29340,715
29,72080,723
33,52248,680
48,56168,628
27,51775,676
44,56671,656
20,47695,642
32,71811,769
36,43153,711
40,66984,715
41,40334,688
42,49096,693
32,33921,739
31,56825,699
43,71677,721
33,48840,692
24,47047,686
25,33281,644
27,46561,621
39,26108,690
36,36307,702
41,53402,649
31,69785,699
36,92138,702
41,41201,614
32,71530,663
39,53656,716
29,47731,715
32,56489,654
32,50929,706
24,51656,741
39,43875,731
31,29028,696
35,26846,681
39,59799,675
39,45849,719
41,41059,708
34,50128,725
31,61924,705
34,52705,733
20,40159,704
22,68394,731
23,73688,735
26,57418,668
39,64605,628
27,68629,762
32,66951,710
47,59211,631
32,58975,671
42,57795,731
27,33540,689
33,60511,680
26,29663,756
32,38081,658
43,69553,668
19,62603,708
39,72311,716
37,45925,720
30,32716,736
22,46393,708
36,51530,720
30,51185,690
37,67005,703
35,44581,704
49,55281,709
33,35171,731
26,56755,722
37,50047,702
37,38753,668
47,46463,703
43,47237,699
38,45948,708
48,76570,788
24,48523,679
29,46342,717
27,18538,743
31,36587,704
23,46054,794
41,39712,685
33,70726,713
22,47526,668
26,69327,686
38,50926,710
43,50558,734
53,48668,713
61,50057,750
39,75782,696
26,15206,687
18,19977,808
37,41852,716
28,50218,671
31,60352,672
29,57096,662
34,44236,737
45,65286,685
36,65453,705
34,52761,697
26,64440,729
20,54090,666
31,41578,657
35,60467,709
51,51659,724
36,50020,713
44,72094,668
31,13237,727
24,28735,670
26,32194,679
28,44551,662
54,46181,752
28,27390,725
43,35223,724
27,37087,750
43,86861,813
38,77026,632
34,43824,670
35,44546,675
29,32762,666
39,21378,657
31,48247,688
24,35032,651
23,48727,713
37,25997,702
49,38570,719
36,52229,720
34,55493,724
38,56262,685
47,30193,785
37,62820,709
31,37997,626
45,59493,660
39,49840,630
49,29354,701
37,45257,695
24,55480,681
23,59194,780
50,47885,722
51,72977,729
33,65113,663
32,46150,660
48,61252,701
25,79007,707
27,79407,626
41,31580,693
31,36102,701
35,72274,691
34,34126,667
38,30162,678
48,42707,693
36,56303,704
41,48464,724
18,40242,743
35,39887,688
27,39315,682
24,36807,718
27,84224,724
32,54463,683
43,63301,732
23,42664,739
35,47211,752
31,39297,771
32,10224,665
44,29330,701
40,22841,700
47,16253,696
34,32070,674
29,69874,641
33,49333,704
37,69358,669
37,56165,703
25,61738,668
36,36487,656
37,57859,709
58,60931,706
52,41350,723
27,58393,787
32,58493,711
22,41757,719
30,33158,657
38,32238,649
46,51298,763
28,54905,663
29,38112,658
18,50399,698
34,58558,696
25,59273,664
30,73278,688
27,69155,749
34,34981,668
19,75254,644
22,42035,738
54,65673,720
23,51020,675
25,43818,637
52,22885,670
61,47427,698
24,26609,747
32,64509,659
38,72752,697
51,38046,727
26,54530,605
33,39119,741
42,40573,653
39,61617,713
32,49422,710
34,76095,743
23,42767,722
33,64990,605
33,51461,669
37,61937,706
30,43293,692
39,49257,719
44,48268,732
36,37459,724
38,59931,691
35,59754,626
35,58903,682
29,73054,717
38,71740,656
34,44376,725
54,55596,736
49,40646,705
38,50350,577
28,41004,649
25,74301,775
46,55455,678
37,46730,621
39,67904,749
19,17441,701
43,19788,744
39,61938,711
25,50907,718
31,53757,715
37,30104,728
35,49651,791
32,80053,739
34,62363,637
33,52546,718
36,43414,746
48,44081,748
18,18062,683
33,53865,747
37,62682,737
38,26366,803
32,40079,670
19,32638,680
38,35520,688
51,50802,680
21,18734,664
43,59214,589
32,61308,683
34,46233,715
26,12789,680
32,35054,777
47,68494,701
40,8330,752
51,44787,710
46,32300,733
39,62069,711
51,39873,755
39,56059,702
42,58482,720
32,77543,715
36,46956,688
29,55641,716
44,27724,789
24,67856,689
42,38592,717
33,41589,750
46,49666,746
42,26557,700
51,53432,605
42,64512,721
21,54394,611
34,26167,759
24,48143,707
30,61130,740
49,21830,664
41,33879,638
29,63148,710
26,54051,699
35,56180,680
24,77892,703
29,57028,811
38,59868,733
45,90661,742
40,46793,734
18,38032,759
38,56417,692
36,56585,618
39,42099,692
50,34514,732
18,84648,661
30,54903,693
40,39016,672
21,63739,760
48,48363,730
38,46207,726
43,58434,725
30,30622,699
42,55289,708
45,78694,653
37,56993,613
37,44357,706
37,42393,713
27,43845,748
34,46191,763
34,44333,763
38,63745,660
44,24002,686
25,62930,719
34,44305,801
48,55654,759
28,33095,745
28,69929,684
37,68685,665
43,64394,732
35,27279,656
47,62437,690
43,56073,695
43,25921,764
40,49636,686
56,55468,602
33,58341,720
18,52659,672
49,54368,702
31,72104,697
36,68391,689
47,6994,732
21,45238,639
24,47530,679
21,23719,727
28,51413,675
39,68731,636
40,33701,727
37,55046,745
22,36263,698
18,39921,622
35,72161,728
31,41862,634
39,56933,712
41,21932,665
